Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.03,-0.17,-0.28,-0.41,-0.37,-0.34,131
0.2,-0.12,-0.18,-0.3,-0.37,-0.38,-0.4,131
0.4,-0.02,-0.17,-0.24,-0.38,-0.37,-0.38,131
0.6,0.3,-0.2,-0.24,-0.38,-0.38,-0.38,131
0.8,0.59,-0.12,-0.24,-0.36,-0.38,-0.38,131
1,0.97,-0.09,-0.24,-0.4,-0.37,-0.4,131
1.2,1.24,-0.07,-0.22,-0.36,-0.41,-0.43,131
1.4,1.66,0.02,-0.23,-0.37,-0.37,-0.41,131
1.6,1.95,0.07,-0.18,-0.38,-0.41,-0.43,131
1.8,2.41,0.2,-0.17,-0.4,-0.45,-0.38,131
2,2.76,0.3,-0.18,-0.4,-0.41,-0.4,131
2.2,3.12,0.51,-0.08,-0.37,-0.4,-0.43,131
2.4,3.56,0.55,-0.11,-0.36,-0.36,-0.38,131
2.6,3.79,0.73,-0.03,-0.34,-0.4,-0.41,131
2.8,4.16,0.93,0.02,-0.34,-0.4,-0.37,131
3,4.56,1.07,0.04,-0.36,-0.34,-0.38,131
3.2,4.84,1.22,0.17,-0.34,-0.4,-0.41,131
3.4,5.2,1.38,0.24,-0.34,-0.37,-0.41,131
3.6,5.53,1.56,0.34,-0.3,-0.34,-0.37,131
3.8,5.87,1.7,0.34,-0.26,-0.4,-0.41,131
4,6.14,1.94,0.46,-0.28,-0.38,-0.36,131
4.2,6.43,2.08,0.56,-0.26,-0.28,-0.37,131
4.4,6.74,2.23,0.66,-0.09,-0.36,-0.38,131
4.6,7.02,2.41,0.77,-0.09,-0.34,-0.4,131
4.8,7.37,2.51,0.9,-0.12,-0.24,-0.37,131
5,7.63,2.83,0.9,-0.08,-0.3,-0.36,131
5.2,7.94,2.96,1,-0.03,-0.3,-0.37,131
5.4,8.21,3.16,1.16,0.03,-0.26,-0.34,131
5.6,8.48,3.34,1.24,0.05,-0.2,-0.4,131
5.8,8.73,3.46,1.37,0.09,-0.23,-0.3,131
6,8.99,3.61,1.45,0.18,-0.23,-0.36,131
6.2,9.2,3.84,1.57,0.2,-0.2,-0.3,131
6.4,9.49,3.95,1.7,0.24,-0.12,-0.36,131
6.6,9.77,4.12,1.81,0.26,-0.08,-0.32,131
6.8,9.96,4.28,1.92,0.34,-0.08,-0.3,131
7,10.25,4.49,1.98,0.3,0.02,-0.3,131
7.2,10.55,4.6,2.13,0.55,-0.03,-0.26,131
7.4,10.73,4.85,2.2,0.46,0.03,-0.3,131
7.6,10.93,4.95,2.35,0.54,0.03,-0.24,131
7.8,11.18,5.1,2.49,0.63,0.09,-0.17,131
8,11.38,5.32,2.6,0.7,0.09,-0.23,131
8.2,11.59,5.47,2.62,0.73,0.17,-0.18,131
8.4,11.81,5.54,2.8,0.8,0.24,-0.18,131
8.6,11.98,5.7,2.9,0.89,0.24,-0.16,131
8.8,12.24,5.88,3.03,0.93,0.24,-0.08,131
9,12.39,6.03,3.17,0.95,0.27,-0.16,131
