Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.1,0.07,-0.02,-0.07,-0.09,-0.03,230
0.2,0.13,0.03,-0.07,-0.09,-0.11,-0.09,230
0.4,0.3,0.05,-0.02,-0.08,-0.07,-0.04,230
0.6,0.65,0.05,-0.02,-0.04,-0.08,-0.08,230
0.8,1.43,0.13,-0.04,-0.04,-0.09,-0.09,230
1,2.2,0.3,-0.03,-0.07,-0.04,-0.03,230
1.2,2.7,0.52,-0.02,-0.02,-0.11,-0.02,230
1.4,3.59,0.79,0.03,-0.07,-0.12,-0.02,230
1.6,4.49,1.16,0.09,-0.04,-0.15,0,230
1.8,5.18,1.42,0.23,0.02,-0.09,-0.07,230
2,6.03,1.91,0.32,0,-0.09,-0.04,230
2.2,6.87,2.19,0.45,0.02,-0.03,-0.09,230
2.4,7.75,2.63,0.59,0.12,-0.08,-0.03,230
2.6,8.38,3.09,0.73,0.12,-0.03,-0.02,230
2.8,9.26,3.53,0.94,0.2,-0.03,-0.03,230
3,9.95,3.84,1.18,0.27,-0.02,-0.07,230
3.2,10.85,4.34,1.3,0.32,0,-0.07,230
3.4,11.45,4.84,1.56,0.41,0.04,-0.03,230
3.6,12.24,5.29,1.84,0.51,0.09,-0.08,230
3.8,12.95,5.66,2.05,0.67,0.1,-0.02,230
4,13.7,6.18,2.25,0.7,0.14,0.02,230
4.2,14.28,6.72,2.45,0.88,0.2,-0.02,230
4.4,15.08,7.05,2.76,0.98,0.23,0.03,230
4.6,15.71,7.49,2.9,1.08,0.27,0.04,230
4.8,16.07,7.95,3.26,1.26,0.37,0.05,230
5,16.9,8.46,3.56,1.4,0.41,0.05,230
5.2,17.59,8.81,3.81,1.52,0.48,0.13,230
5.4,18.11,9.21,4.1,1.73,0.56,0.17,230
5.6,18.73,9.7,4.41,1.84,0.7,0.1,230
5.8,19.42,10.19,4.63,2.06,0.67,0.2,230
6,19.99,10.57,4.95,2.29,0.81,0.24,230
6.2,20.46,11,5.18,2.37,0.95,0.24,230
6.4,21.04,11.47,5.41,2.49,0.97,0.28,230
6.6,21.49,11.92,5.68,2.76,1.08,0.34,230
6.8,22.2,12.18,6.02,2.82,1.23,0.38,230
7,22.66,12.63,6.33,3.12,1.3,0.42,230
7.2,23.19,13.03,6.58,3.23,1.4,0.42,230
7.4,23.79,13.38,6.73,3.34,1.47,0.51,230
7.6,24.3,13.78,7.09,3.56,1.56,0.61,230
7.8,24.71,14.23,7.34,3.69,1.67,0.65,230
8,25.23,14.65,7.62,4.02,1.79,0.67,230
8.2,25.62,14.91,7.95,4.1,1.95,0.77,230
8.4,26.13,15.3,8.13,4.3,1.98,0.8,230
8.6,26.54,15.66,8.44,4.43,2.14,0.87,230
8.8,27.07,15.99,8.66,4.64,2.25,0.93,230
9,27.44,16.45,8.98,4.83,2.37,0.94,230
9.2,27.92,16.73,9.12,5.05,2.45,1.07,230
9.4,28.32,17.06,9.41,5.2,2.57,1.08,230
9.6,28.8,17.37,9.68,5.39,2.77,1.16,230
9.8,29.14,17.74,9.86,5.45,2.86,1.18,230
10,29.6,18.07,10.21,5.64,2.91,1.3,230
10.2,30.04,18.37,10.38,5.91,3.11,1.4,230
10.4,30.45,18.69,10.65,6.03,3.17,1.45,230
10.6,30.73,19.08,10.84,6.2,3.26,1.53,230
10.8,31.12,19.36,11.13,6.43,3.38,1.56,230
11,31.62,19.69,11.35,6.55,3.59,1.63,230
11.2,31.8,19.96,11.59,6.66,3.61,1.73,230
11.4,32.29,20.26,11.84,6.85,3.75,1.73,230
11.6,32.67,20.57,12.16,7.04,3.86,1.88,230
11.8,32.94,20.86,12.22,7.19,4.04,1.94,230
12,33.37,21.17,12.42,7.35,4.14,1.94,230
12.2,33.77,21.45,12.76,7.54,4.23,2.02,230
12.4,34.11,21.78,12.91,7.73,4.34,2.14,230
12.6,34.41,21.94,13.14,7.87,4.5,2.2,230
12.8,34.75,22.19,13.36,8.05,4.63,2.25,230
13,35.02,22.49,13.62,8.21,4.66,2.37,230
13.2,35.41,22.73,13.75,8.27,4.74,2.41,230
13.4,35.73,22.98,13.95,8.45,4.93,2.49,230
13.6,36.07,23.23,14.24,8.66,5.08,2.51,230
13.8,36.4,23.52,14.32,8.71,5.14,2.64,230
14,36.7,23.84,14.52,8.94,5.26,2.64,230
14.2,36.93,24.05,14.8,9.09,5.38,2.8,230
14.4,37.21,24.3,14.91,9.27,5.49,2.88,230
14.6,37.52,24.55,15.14,9.35,5.6,2.93,230
14.8,37.78,24.82,15.38,9.53,5.7,2.97,230
15,38.13,24.98,15.51,9.62,5.8,2.98,230
15.2,38.46,25.25,15.73,9.81,5.89,3.09,230
15.4,38.64,25.44,15.86,9.89,6.04,3.17,230
15.6,38.95,25.79,16.02,10.11,6.14,3.25,230
15.8,39.17,26,16.23,10.29,6.23,3.34,230
16,39.45,26.18,16.46,10.43,6.35,3.34,230
16.2,39.71,26.41,16.63,10.55,6.45,3.48,230
16.4,39.98,26.6,16.75,10.66,6.57,3.52,230
16.6,40.23,26.81,16.84,10.76,6.6,3.55,230
16.8,40.45,27.01,17.09,10.91,6.73,3.63,230
17,40.64,27.28,17.2,11.05,6.85,3.73,230
17.2,40.96,27.44,17.41,11.21,6.95,3.76,230
17.4,41.22,27.6,17.61,11.26,7.09,3.86,230
17.6,41.38,27.83,17.77,11.38,7.14,3.9,230
17.8,41.7,28.08,17.9,11.46,7.37,3.94,230
18,41.91,28.2,18.09,11.7,7.28,4,230
18.2,42.05,28.46,18.23,11.74,7.41,4.08,230
18.4,42.28,28.65,18.25,11.88,7.54,4.16,230
18.6,42.52,28.78,18.51,12.02,7.7,4.24,230
18.8,42.82,29,18.71,12.12,7.74,4.28,230
19,42.93,29.21,18.79,12.2,7.77,4.3,230
19.2,43.17,29.34,19.02,12.34,7.88,4.41,230
19.4,43.36,29.47,19.09,12.48,7.95,4.45,230
19.6,43.59,29.7,19.18,12.56,8.04,4.53,230
19.8,43.79,29.9,19.36,12.66,8.13,4.56,230
20,43.97,30.1,19.51,12.8,8.23,4.63,230
20.2,44.26,30.16,19.59,12.88,8.38,4.66,230
20.4,44.45,30.43,19.8,13,8.46,4.74,230
20.6,44.61,30.56,19.95,13.13,8.42,4.8,230
20.8,44.84,30.7,20.06,13.23,8.52,4.83,230
21,44.95,30.84,20.2,13.3,8.63,4.91,230
21.2,45.13,30.98,20.29,13.41,8.67,4.95,230
21.4,45.35,31.18,20.43,13.55,8.81,5.05,230
21.6,45.56,31.25,20.57,13.66,8.86,5.1,230
21.8,45.69,31.38,20.67,13.74,8.99,5.16,230
22,45.87,31.59,20.84,13.84,9.09,5.16,230
22.2,46.07,31.77,20.91,13.89,9.12,5.2,230
22.4,46.23,31.84,20.96,14.02,9.26,5.34,230
22.6,46.4,32.02,21.17,14.06,9.29,5.35,230
22.8,46.62,32.15,21.27,14.24,9.41,5.41,230
23,46.78,32.27,21.31,14.28,9.45,5.45,230
23.2,46.95,32.42,21.52,14.43,9.53,5.59,230
23.4,47.02,32.52,21.65,14.5,9.6,5.53,230
23.6,47.13,32.68,21.76,14.58,9.66,5.6,230
23.8,47.39,32.87,21.78,14.6,9.74,5.66,230
24,47.45,32.93,21.92,14.76,9.79,5.7,230
24.2,47.64,33.14,22.05,14.84,9.92,5.83,230
24.4,47.82,33.19,22.12,14.92,9.92,5.8,230
24.6,47.97,33.37,22.23,15.01,10.1,5.89,230
24.8,48.09,33.46,22.32,15.12,10.09,5.98,230
25,48.3,33.56,22.47,15.19,10.23,5.95,230
25.2,48.41,33.73,22.54,15.3,10.23,6.04,230
25.4,48.58,33.79,22.63,15.38,10.3,6.12,230
25.6,48.7,34.02,22.76,15.41,10.31,6.16,230
25.8,48.8,34.09,22.84,15.48,10.41,6.18,230
26,49.01,34.27,23.05,15.54,10.51,6.2,230
26.2,49.1,34.3,23.05,15.66,10.51,6.35,230
26.4,49.23,34.44,23.19,15.73,10.68,6.38,230
26.6,49.4,34.58,23.27,15.86,10.76,6.35,230
26.8,49.48,34.6,23.3,15.88,10.77,6.51,230
27,49.62,34.71,23.37,15.91,10.82,6.45,230
27.2,49.74,34.87,23.51,16.02,10.89,6.51,230
27.4,49.91,34.97,23.55,16.14,10.91,6.58,230
27.6,50,35.08,23.63,16.22,10.99,6.6,230
27.8,50.16,35.25,23.77,16.25,11.06,6.6,230
28,50.3,35.27,23.89,16.34,11.14,6.66,230
28.2,50.38,35.4,23.91,16.42,11.19,6.7,230
28.4,50.43,35.53,24.02,16.47,11.21,6.78,230
28.6,50.56,35.58,24.11,16.55,11.34,6.85,230
28.8,50.7,35.68,24.18,16.55,11.34,6.84,230
29,50.8,35.74,24.26,16.7,11.38,6.85,230
29.2,50.98,35.8,24.29,16.73,11.48,6.88,230
29.4,51.09,35.94,24.4,16.77,11.51,6.95,230
29.6,51.23,36.03,24.45,16.86,11.52,6.95,230
29.8,51.3,36.19,24.51,16.89,11.62,7,230
30,51.34,36.13,24.69,16.98,11.67,7.08,230
30.2,51.5,36.27,24.69,17.02,11.68,7.06,230
30.4,51.61,36.45,24.76,17.09,11.73,7.14,230
30.6,51.68,36.45,24.85,17.2,11.81,7.16,230
30.8,51.8,36.58,24.9,17.2,11.88,7.23,230
31,51.88,36.67,24.95,17.27,11.88,7.25,230
31.2,51.94,36.76,25.03,17.34,11.95,7.31,230
31.4,52.04,36.77,25.05,17.37,12.01,7.35,230
31.6,52.11,36.87,25.16,17.44,12.1,7.41,230
31.8,52.23,36.97,25.32,17.5,12.07,7.37,230
32,52.3,37.06,25.31,17.57,12.07,7.41,230
32.2,52.37,37.13,25.3,17.61,12.2,7.43,230
32.4,52.54,37.23,25.48,17.61,12.2,7.47,230
32.6,52.63,37.3,25.52,17.74,12.25,7.56,230
32.8,52.74,37.42,25.56,17.81,12.31,7.55,230
33,52.79,37.49,25.62,17.81,12.39,7.56,230
33.2,52.93,37.54,25.66,17.9,12.42,7.6,230
33.4,53.04,37.66,25.72,17.9,12.48,7.62,230
33.6,53.09,37.73,25.82,17.98,12.45,7.68,230
33.8,53.16,37.84,25.91,17.98,12.52,7.69,230
34,53.26,37.88,25.95,18.07,12.55,7.7,230
34.2,53.35,37.98,25.98,18.02,12.59,7.75,230
34.4,53.44,38.03,26.08,18.2,12.63,7.77,230
34.6,53.51,38.01,26.11,18.27,12.72,7.87,230
34.8,53.59,38.16,26.16,18.31,12.73,7.89,230
35,53.64,38.18,26.28,18.31,12.77,7.89,230
35.2,53.7,38.23,26.28,18.29,12.83,7.89,230
35.4,53.75,38.37,26.3,18.44,12.86,7.95,230
35.6,53.87,38.39,26.41,18.47,12.88,7.99,230
35.8,53.96,38.44,26.45,18.47,12.95,7.99,230
36,54.01,38.51,26.49,18.49,12.95,8.02,230
36.2,54.08,38.55,26.54,18.63,13,8.05,230
36.4,54.17,38.58,26.6,18.64,13.06,8.1,230
36.6,54.27,38.72,26.63,18.68,13.08,8.15,230
36.8,54.35,38.71,26.76,18.77,13.14,8.1,230
37,54.45,38.77,26.74,18.71,13.09,8.19,230
37.2,54.5,38.93,26.8,18.77,13.16,8.16,230
37.4,54.58,38.93,26.8,18.77,13.16,8.21,230
37.6,54.63,39.01,26.84,18.9,13.23,8.23,230
37.8,54.69,39.05,26.94,18.86,13.23,8.27,230
38,54.77,39.07,26.97,18.99,13.29,8.23,230
38.2,54.84,39.15,27.08,19.02,13.38,8.29,230
38.4,54.93,39.2,27.01,19.03,13.42,8.35,230
38.6,54.95,39.29,27.14,19.15,13.42,8.31,230
38.8,55.07,39.33,27.21,19.08,13.45,8.35,230
39,55.06,39.35,27.26,19.1,13.51,8.42,230
39.2,55.16,39.41,27.3,19.15,13.48,8.4,230
39.4,55.18,39.51,27.35,19.19,13.48,8.45,230
39.6,55.3,39.6,27.37,19.18,13.52,8.51,230
39.8,55.37,39.67,27.44,19.28,13.61,8.5,230
40,55.39,39.64,27.44,19.28,13.64,8.6,230
40.2,55.52,39.72,27.48,19.32,13.7,8.59,230
40.4,55.52,39.74,27.55,19.38,13.7,8.51,230
40.6,55.57,39.72,27.62,19.42,13.77,8.63,230
40.8,55.68,39.88,27.62,19.48,13.72,8.6,230
41,55.7,39.92,27.66,19.51,13.78,8.65,230
41.2,55.7,39.95,27.7,19.53,13.78,8.65,230
41.4,55.8,40,27.69,19.58,13.84,8.73,230
41.6,55.85,40.02,27.8,19.59,13.84,8.71,230
41.8,55.94,40.07,27.82,19.58,13.91,8.72,230
42,55.89,40.14,27.87,19.61,13.91,8.77,230
42.2,56.02,40.13,27.94,19.65,13.91,8.76,230
42.4,56.1,40.24,27.94,19.69,13.95,8.84,230
42.6,56.08,40.26,28.02,19.84,14.01,8.73,230
42.8,56.15,40.3,28.03,19.78,14.03,8.8,230
43,56.17,40.38,28.12,19.84,14.09,8.81,230
43.2,56.26,40.44,28.14,19.91,14.11,8.84,230
43.4,56.31,40.45,28.12,19.95,14.13,8.86,230
43.6,56.36,40.52,28.21,19.91,14.16,8.9,230
43.8,56.43,40.6,28.21,19.89,14.16,8.91,230
44,56.48,40.58,28.28,19.99,14.18,8.95,230
44.2,56.53,40.62,28.3,19.99,14.22,8.91,230
44.4,56.57,40.65,28.33,20.1,14.22,8.99,230
44.6,56.57,40.71,28.32,20.04,14.24,9.01,230
44.8,56.63,40.75,28.34,20.16,14.3,8.99,230
45,56.73,40.81,28.45,20.2,14.35,9.02,230
45.2,56.75,40.84,28.42,20.2,14.37,9.05,230
45.4,56.79,40.82,28.53,20.13,14.37,8.99,230
45.6,56.85,40.93,28.5,20.18,14.38,9.11,230
45.8,56.88,40.98,28.59,20.2,14.37,9.13,230
46,56.92,40.95,28.6,20.27,14.43,9.12,230
46.2,56.97,41.01,28.6,20.3,14.41,9.16,230
46.4,56.99,41.08,28.62,20.37,14.5,9.16,230
46.6,57.02,41.05,28.66,20.35,14.52,9.18,230
46.8,57.13,41.15,28.71,20.39,14.52,9.21,230
47,57.16,41.18,28.71,20.35,14.52,9.21,230
47.2,57.17,41.16,28.8,20.37,14.52,9.2,230
47.4,57.17,41.2,28.82,20.37,14.54,9.21,230
47.6,57.25,41.27,28.8,20.44,14.56,9.22,230
47.8,57.31,41.31,28.87,20.5,14.6,9.18,230
48,57.38,41.34,28.82,20.57,14.56,9.22,230
48.2,57.38,41.39,28.85,20.53,14.66,9.28,230
48.4,57.41,41.45,28.92,20.59,14.7,9.29,230
48.6,57.43,41.45,28.94,20.57,14.66,9.33,230
48.8,57.46,41.48,29.01,20.67,14.73,9.32,230
49,57.55,41.45,29.01,20.57,14.77,9.33,230
49.2,57.56,41.53,29.01,20.66,14.71,9.38,230
49.4,57.59,41.52,29.07,20.62,14.76,9.41,230
49.6,57.67,41.6,29.1,20.66,14.8,9.39,230
49.8,57.73,41.61,29.14,20.7,14.8,9.35,230
50,57.69,41.67,29.15,20.75,14.78,9.41,230
50.2,57.77,41.72,29.15,20.75,14.86,9.41,230
50.4,57.8,41.72,29.23,20.77,14.84,9.39,230
50.6,57.83,41.77,29.15,20.73,14.89,9.43,230
50.8,57.93,41.8,29.24,20.84,14.86,9.47,230
51,57.93,41.84,29.37,20.82,14.91,9.48,230
51.2,57.97,41.87,29.32,20.85,14.91,9.54,230
