Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.22,-0.3,-0.36,-0.45,-0.43,-0.36,90
0.2,-0.2,-0.3,-0.36,-0.45,-0.43,-0.34,90
0.4,-0.12,-0.3,-0.37,-0.45,-0.34,-0.45,90
0.6,-0.04,-0.3,-0.36,-0.41,-0.43,-0.4,90
0.8,0.1,-0.36,-0.38,-0.43,-0.38,-0.36,90
1,0.23,-0.3,-0.37,-0.4,-0.38,-0.4,90
1.2,0.56,-0.26,-0.4,-0.4,-0.37,-0.41,90
1.4,0.88,-0.34,-0.34,-0.43,-0.34,-0.37,90
1.6,1.16,-0.3,-0.37,-0.4,-0.4,-0.41,90
1.8,1.47,-0.34,-0.37,-0.37,-0.34,-0.37,90
2,1.81,-0.24,-0.38,-0.4,-0.4,-0.38,90
2.2,2.19,-0.24,-0.34,-0.38,-0.36,-0.38,90
2.4,2.47,-0.23,-0.37,-0.45,-0.41,-0.4,90
2.6,2.84,-0.26,-0.34,-0.41,-0.4,-0.37,90
2.8,3.16,-0.26,-0.4,-0.43,-0.36,-0.38,90
3,3.6,-0.26,-0.43,-0.43,-0.32,-0.41,90
3.2,3.88,-0.16,-0.32,-0.41,-0.36,-0.38,90
3.4,4.3,-0.18,-0.34,-0.45,-0.32,-0.37,90
3.6,4.55,-0.16,-0.4,-0.41,-0.4,-0.41,90
3.8,4.93,-0.02,-0.4,-0.4,-0.34,-0.4,90
4,5.32,-0.02,-0.34,-0.4,-0.34,-0.45,90
4.2,5.7,0.05,-0.3,-0.45,-0.4,-0.45,90
4.4,5.91,0.1,-0.38,-0.43,-0.45,-0.41,90
4.6,6.2,0.2,-0.38,-0.38,-0.36,-0.38,90
4.8,6.7,0.24,-0.37,-0.41,-0.37,-0.37,90
5,7.06,0.32,-0.37,-0.45,-0.41,-0.36,90
5.2,7.33,0.38,-0.38,-0.43,-0.37,-0.4,90
5.4,7.66,0.38,-0.37,-0.43,-0.38,-0.43,90
5.6,7.98,0.45,-0.34,-0.45,-0.37,-0.43,90
5.8,8.29,0.56,-0.32,-0.43,-0.36,-0.38,90
6,8.59,0.66,-0.24,-0.4,-0.38,-0.36,90
6.2,8.98,0.7,-0.34,-0.36,-0.4,-0.38,90
6.4,9.26,0.79,-0.36,-0.38,-0.4,-0.36,90
6.6,9.49,0.94,-0.37,-0.4,-0.34,-0.37,90
6.8,9.84,0.95,-0.37,-0.41,-0.37,-0.38,90
7,10.15,1.09,-0.26,-0.41,-0.38,-0.43,90
7.2,10.42,1.18,-0.28,-0.45,-0.38,-0.41,90
7.4,10.72,1.22,-0.26,-0.48,-0.38,-0.4,90
7.6,11.04,1.36,-0.26,-0.41,-0.4,-0.38,90
7.8,11.32,1.43,-0.23,-0.37,-0.37,-0.37,90
8,11.59,1.59,-0.26,-0.43,-0.43,-0.4,90
8.2,11.88,1.61,-0.18,-0.45,-0.36,-0.41,90
8.4,12.22,1.77,-0.28,-0.45,-0.37,-0.36,90
8.6,12.45,1.85,-0.18,-0.4,-0.37,-0.4,90
8.8,12.8,1.94,-0.2,-0.43,-0.41,-0.43,90
