Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.59,0.52,0.4,0.34,0.27,0.24,230
0.2,0.59,0.46,0.4,0.34,0.26,0.37,230
0.4,0.73,0.46,0.38,0.3,0.27,0.26,230
0.6,1.14,0.48,0.34,0.27,0.26,0.28,230
0.8,1.63,0.63,0.37,0.34,0.26,0.3,230
1,2.38,0.7,0.37,0.32,0.28,0.3,230
1.2,3.07,0.88,0.4,0.3,0.26,0.3,230
1.4,3.8,1.16,0.46,0.3,0.24,0.26,230
1.6,4.7,1.43,0.55,0.34,0.28,0.27,230
1.8,5.49,1.77,0.55,0.34,0.3,0.26,230
2,6.2,2.13,0.61,0.34,0.24,0.24,230
2.2,6.98,2.52,0.77,0.34,0.27,0.26,230
2.4,7.8,2.93,0.95,0.42,0.26,0.24,230
2.6,8.65,3.27,1.04,0.46,0.3,0.24,230
2.8,9.27,3.65,1.26,0.47,0.26,0.24,230
3,9.81,4.22,1.47,0.7,0.3,0.23,230
3.2,10.83,4.59,1.65,0.67,0.34,0.23,230
3.4,11.59,4.91,1.85,0.83,0.41,0.27,230
3.6,12.18,5.43,2.08,0.88,0.46,0.27,230
3.8,12.95,5.88,2.28,0.98,0.46,0.28,230
4,13.64,6.26,2.51,1.14,0.48,0.28,230
4.2,14.37,6.77,2.78,1.22,0.52,0.34,230
4.4,14.93,7.22,3.09,1.32,0.59,0.32,230
4.6,15.64,7.63,3.26,1.51,0.63,0.37,230
4.8,16.16,8.05,3.56,1.59,0.69,0.37,230
5,16.79,8.48,3.84,1.75,0.75,0.4,230
5.2,17.51,8.97,4.09,1.91,0.87,0.4,230
5.4,18.12,9.28,4.3,2,0.93,0.4,230
5.6,18.61,9.75,4.56,2.15,1.03,0.48,230
5.8,19.15,10.21,4.88,2.35,1.08,0.52,230
6,19.76,10.59,5.08,2.51,1.18,0.52,230
6.2,20.33,10.98,5.41,2.64,1.2,0.61,230
6.4,20.86,11.27,5.62,2.9,1.3,0.7,230
