Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.04,-0.2,-0.36,-0.6,-0.52,-0.6,230
0.2,0.02,-0.24,-0.4,-0.6,-0.57,-0.63,230
0.4,0.2,-0.28,-0.38,-0.6,-0.57,-0.6,230
0.6,0.46,-0.28,-0.32,-0.6,-0.59,-0.63,230
0.8,1.02,-0.3,-0.38,-0.57,-0.56,-0.6,230
1,1.57,-0.23,-0.3,-0.63,-0.56,-0.57,230
1.2,2.15,-0.08,-0.36,-0.53,-0.6,-0.63,230
1.4,2.8,0.03,-0.37,-0.6,-0.56,-0.6,230
1.6,3.53,0.2,-0.32,-0.6,-0.62,-0.7,230
1.8,4.04,0.37,-0.36,-0.52,-0.6,-0.67,230
2,4.7,0.55,-0.23,-0.56,-0.59,-0.62,230
2.2,5.41,0.83,-0.18,-0.62,-0.59,-0.6,230
2.4,6.08,0.97,-0.16,-0.56,-0.6,-0.66,230
2.6,6.6,1.22,-0.07,-0.56,-0.56,-0.62,230
2.8,7.2,1.59,0.04,-0.56,-0.6,-0.62,230
3,7.89,1.81,0.2,-0.59,-0.52,-0.6,230
3.2,8.38,2.13,0.27,-0.49,-0.59,-0.63,230
3.4,8.99,2.33,0.4,-0.45,-0.52,-0.64,230
3.6,9.63,2.7,0.48,-0.45,-0.53,-0.63,230
3.8,10.19,2.96,0.73,-0.45,-0.49,-0.64,230
4,10.57,3.26,0.8,-0.37,-0.48,-0.59,230
4.2,11.21,3.48,1,-0.3,-0.56,-0.62,230
4.4,11.79,3.84,1.1,-0.34,-0.52,-0.66,230
4.6,12.25,4.16,1.33,-0.22,-0.51,-0.67,230
4.8,12.73,4.53,1.46,-0.24,-0.48,-0.63,230
5,13.29,4.74,1.61,-0.12,-0.41,-0.67,230
5.2,13.72,5.04,1.79,-0.07,-0.4,-0.62,230
5.4,14.17,5.38,1.92,0.05,-0.38,-0.66,230
5.6,14.65,5.63,2.13,0.05,-0.32,-0.62,230
5.8,15.16,5.98,2.35,0.18,-0.26,-0.57,230
6,15.53,6.3,2.51,0.27,-0.26,-0.53,230
6.2,16.01,6.6,2.7,0.32,-0.2,-0.57,230
6.4,16.39,6.79,2.91,0.4,-0.2,-0.53,230
6.6,16.94,7.19,3.16,0.54,-0.17,-0.52,230
6.8,17.29,7.41,3.25,0.61,-0.08,-0.49,230
7,17.7,7.73,3.48,0.7,0,-0.52,230
7.2,18.11,8.04,3.63,0.81,0.03,-0.41,230
7.4,18.41,8.29,3.89,0.93,0.02,-0.43,230
7.6,18.9,8.51,4.08,1.03,0.13,-0.41,230
7.8,19.32,8.84,4.28,1.09,0.12,-0.4,230
8,19.65,9.07,4.52,1.2,0.27,-0.34,230
8.2,20.06,9.33,4.7,1.33,0.28,-0.37,230
8.4,20.4,9.66,4.84,1.43,0.4,-0.36,230
8.6,20.82,9.9,5.02,1.57,0.4,-0.24,230
8.8,21.1,10.1,5.2,1.57,0.42,-0.3,230
9,21.52,10.38,5.35,1.73,0.55,-0.3,230
9.2,21.83,10.62,5.57,1.77,0.59,-0.23,230
9.4,22.07,10.91,5.78,1.98,0.66,-0.15,230
9.6,22.45,11.14,6.02,2.02,0.73,-0.18,230
9.8,22.78,11.31,6.1,2.09,0.81,-0.15,230
10,23.09,11.66,6.32,2.23,0.89,-0.07,230
10.2,23.4,11.88,6.45,2.34,0.93,-0.11,230
10.4,23.8,12.12,6.66,2.49,1.07,0.02,230
10.6,24.09,12.28,6.8,2.54,1.1,0.09,230
10.8,24.38,12.5,7.02,2.68,1.2,0.09,230
11,24.55,12.69,7.18,2.78,1.16,0.13,230
11.2,25.02,13.06,7.33,2.86,1.26,0.14,230
11.4,25.25,13.21,7.55,2.99,1.37,0.14,230
11.6,25.55,13.36,7.74,3.05,1.46,0.27,230
11.8,25.84,13.66,7.77,3.12,1.52,0.26,230
12,26.13,13.75,7.98,3.32,1.59,0.32,230
12.2,26.36,14.02,8.21,3.42,1.71,0.4,230
12.4,26.67,14.32,8.36,3.53,1.77,0.41,230
12.6,26.91,14.38,8.48,3.63,1.81,0.41,230
12.8,27.1,14.65,8.7,3.73,1.91,0.47,230
13,27.4,14.89,8.81,3.86,1.98,0.54,230
13.2,27.67,15.04,9.05,3.95,2,0.52,230
13.4,27.85,15.26,9.15,4.02,2.13,0.66,230
13.6,28.14,15.47,9.26,4.09,2.15,0.7,230
13.8,28.39,15.64,9.45,4.16,2.33,0.75,230
14,28.62,15.81,9.59,4.23,2.34,0.79,230
14.2,28.91,16.05,9.74,4.38,2.41,0.81,230
14.4,29.05,16.14,9.92,4.49,2.48,0.84,230
14.6,29.45,16.31,10.16,4.64,2.62,0.89,230
14.8,29.59,16.55,10.21,4.64,2.64,0.93,230
15,29.83,16.7,10.36,4.83,2.7,1.08,230
15.2,30.06,16.89,10.52,4.87,2.77,1.03,230
15.4,30.22,17.01,10.63,4.95,2.86,1.09,230
15.6,30.37,17.27,10.77,5.01,2.92,1.18,230
15.8,30.65,17.37,10.91,5.18,3.02,1.22,230
16,30.95,17.51,11,5.22,3.11,1.3,230
16.2,31.05,17.63,11.2,5.29,3.12,1.23,230
16.4,31.31,17.84,11.3,5.39,3.26,1.33,230
16.6,31.5,18.02,11.43,5.48,3.3,1.36,230
16.8,31.73,18.22,11.59,5.59,3.38,1.42,230
17,31.92,18.31,11.74,5.66,3.45,1.49,230
17.2,32.13,18.51,11.84,5.78,3.55,1.49,230
17.4,32.28,18.63,11.98,5.89,3.59,1.59,230
17.6,32.48,18.84,12.08,5.91,3.66,1.59,230
17.8,32.73,18.97,12.25,6.01,3.73,1.73,230
18,32.86,19.1,12.35,6.09,3.73,1.71,230
18.2,33.05,19.23,12.41,6.23,3.84,1.79,230
18.4,33.19,19.36,12.59,6.22,3.94,1.8,230
18.6,33.38,19.52,12.72,6.39,4,1.8,230
18.8,33.65,19.66,12.86,6.45,4.02,1.88,230
19,33.73,19.76,12.93,6.58,4.1,1.94,230
19.2,33.91,19.91,13.1,6.64,4.22,1.94,230
19.4,34.05,20.09,13.23,6.7,4.24,2.02,230
19.6,34.25,20.2,13.36,6.8,4.37,2.12,230
19.8,34.41,20.37,13.38,6.85,4.34,2.08,230
20,34.58,20.48,13.49,6.95,4.48,2.15,230
20.2,34.77,20.59,13.58,7.02,4.52,2.22,230
20.4,34.88,20.77,13.78,7.09,4.63,2.23,230
20.6,35.09,20.86,13.85,7.18,4.66,2.3,230
20.8,35.27,20.97,13.95,7.29,4.7,2.41,230
21,35.33,21.12,14.02,7.28,4.77,2.41,230
21.2,35.52,21.3,14.16,7.43,4.84,2.49,230
21.4,35.65,21.33,14.28,7.49,4.93,2.48,230
21.6,35.8,21.47,14.41,7.54,4.91,2.52,230
21.8,35.94,21.54,14.49,7.63,5.01,2.57,230
22,36.03,21.72,14.6,7.75,5.12,2.62,230
22.2,36.24,21.78,14.71,7.83,5.2,2.66,230
22.4,36.34,21.94,14.73,7.87,5.24,2.72,230
22.6,36.52,22.11,14.97,7.94,5.29,2.77,230
22.8,36.73,22.16,14.99,8.02,5.29,2.84,230
23,36.82,22.23,15.1,8.05,5.41,2.82,230
23.2,36.95,22.37,15.23,8.13,5.43,2.91,230
23.4,37.06,22.47,15.25,8.25,5.55,2.9,230
23.6,37.23,22.58,15.38,8.27,5.57,2.97,230
23.8,37.35,22.76,15.45,8.38,5.63,3.05,230
24,37.52,22.77,15.59,8.29,5.64,3.09,230
24.2,37.65,22.92,15.62,8.45,5.74,3.07,230
24.4,37.72,22.98,15.74,8.51,5.82,3.17,230
24.6,37.85,23.16,15.8,8.52,5.91,3.19,230
24.8,37.93,23.19,15.92,8.6,5.91,3.21,230
25,38.1,23.3,15.98,8.7,5.97,3.31,230
25.2,38.17,23.39,16.02,8.78,6.04,3.31,230
25.4,38.3,23.44,16.18,8.84,6.02,3.34,230
