Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.95,0.27,0,-0.16,-0.18,-0.11,90
0.2,0.94,0.34,-0.02,-0.12,-0.09,-0.09,90
0.4,0.95,0.3,0.03,-0.09,-0.16,-0.09,90
0.6,1.07,0.34,-0.02,-0.07,-0.11,-0.11,90
0.8,1.26,0.27,0.02,-0.15,-0.11,-0.07,90
1,1.59,0.24,0.02,-0.09,-0.12,-0.17,90
1.2,1.8,0.28,-0.04,-0.15,-0.12,-0.09,90
1.4,2.08,0.3,0.02,-0.15,-0.09,-0.09,90
1.6,2.41,0.24,0.04,-0.18,-0.16,-0.16,90
1.8,2.7,0.34,-0.04,-0.17,-0.12,-0.11,90
2,3.03,0.28,-0.02,-0.26,-0.16,-0.08,90
2.2,3.34,0.32,0.02,-0.15,-0.16,-0.08,90
2.4,3.81,0.34,0,-0.15,-0.16,-0.09,90
2.6,4.12,0.37,-0.03,-0.22,-0.16,-0.11,90
2.8,4.41,0.4,0,-0.12,-0.12,-0.11,90
3,4.8,0.4,-0.04,-0.15,-0.16,-0.11,90
3.2,5.22,0.48,0.02,-0.17,-0.15,-0.09,90
3.4,5.49,0.45,0.05,-0.15,-0.12,-0.18,90
3.6,5.88,0.45,0,-0.16,-0.15,-0.09,90
3.8,6.18,0.54,0,-0.11,-0.16,-0.11,90
4,6.63,0.59,-0.04,-0.17,-0.09,-0.12,90
4.2,6.91,0.65,0,-0.15,-0.12,-0.03,90
4.4,7.33,0.7,0,-0.15,-0.08,-0.11,90
4.6,7.5,0.81,-0.03,-0.18,-0.15,-0.17,90
4.8,7.99,0.75,0.03,-0.17,-0.16,-0.11,90
5,8.23,0.95,-0.03,-0.15,-0.15,-0.12,90
5.2,8.65,0.97,-0.02,-0.16,-0.15,-0.16,90
5.4,8.84,1,0.04,-0.16,-0.08,-0.11,90
5.6,9.24,1.08,-0.02,-0.07,-0.15,-0.11,90
5.8,9.49,1.14,-0.02,-0.12,-0.11,-0.08,90
6,9.79,1.26,0.03,-0.16,-0.16,-0.11,90
6.2,10.16,1.36,0,-0.11,-0.16,-0.11,90
6.4,10.49,1.42,-0.02,-0.11,-0.08,-0.11,90
6.6,10.72,1.43,0.03,-0.2,-0.11,-0.08,90
6.8,10.98,1.59,0.04,-0.16,-0.12,-0.09,90
7,11.3,1.7,0.03,-0.16,-0.12,-0.15,90
7.2,11.67,1.7,0.05,-0.11,-0.08,-0.12,90
7.4,11.88,1.84,0.05,-0.12,-0.09,-0.07,90
7.6,12.2,1.94,0.07,-0.09,-0.12,-0.09,90
7.8,12.48,2.02,0.05,-0.15,-0.11,-0.17,90
8,12.67,2.13,0.1,-0.12,-0.11,-0.07,90
8.2,13,2.19,0.05,-0.17,-0.11,-0.09,90
8.4,13.34,2.33,0.12,-0.15,-0.07,-0.12,90
8.6,13.51,2.35,0.12,-0.12,-0.17,-0.08,90
8.8,13.81,2.48,0.2,-0.09,-0.12,-0.12,90
9,14.13,2.57,0.18,-0.12,-0.11,-0.16,90
9.2,14.43,2.7,0.18,-0.12,-0.12,-0.03,90
9.4,14.63,2.8,0.18,-0.11,-0.09,-0.08,90
9.6,14.86,2.86,0.2,-0.15,-0.11,-0.09,90
9.8,15.17,2.99,0.2,-0.11,-0.17,-0.12,90
10,15.41,3.05,0.26,-0.09,-0.16,-0.15,90
10.2,15.62,3.19,0.34,-0.12,-0.11,-0.12,90
10.4,15.94,3.31,0.32,-0.11,-0.15,-0.09,90
10.6,16.19,3.34,0.34,-0.08,-0.12,-0.12,90
10.8,16.29,3.48,0.34,-0.08,-0.15,-0.11,90
11,16.58,3.6,0.34,-0.15,-0.15,-0.15,90
11.2,16.84,3.7,0.4,-0.11,-0.03,-0.16,90
11.4,16.92,3.79,0.38,-0.12,-0.12,-0.15,90
11.6,17.23,3.92,0.41,-0.12,-0.12,-0.15,90
11.8,17.5,3.97,0.45,-0.11,-0.15,-0.09,90
12,17.61,4.04,0.47,-0.11,-0.11,-0.15,90
12.2,17.85,4.2,0.46,-0.15,-0.08,-0.08,90
12.4,18.12,4.29,0.46,-0.08,-0.15,-0.12,90
12.6,18.37,4.39,0.56,-0.07,-0.17,-0.12,90
12.8,18.52,4.48,0.55,-0.11,-0.15,-0.15,90
13,18.85,4.52,0.61,-0.09,-0.15,-0.17,90
13.2,18.97,4.59,0.63,-0.09,-0.09,-0.07,90
13.4,19.3,4.77,0.63,-0.07,-0.12,-0.11,90
13.6,19.4,4.85,0.65,-0.04,-0.12,-0.12,90
13.8,19.62,4.99,0.67,-0.04,-0.09,-0.12,90
14,19.82,4.95,0.73,-0.04,-0.15,-0.11,90
14.2,19.96,5.1,0.7,0,-0.16,-0.08,90
14.4,20.22,5.24,0.73,-0.04,-0.09,-0.07,90
14.6,20.4,5.32,0.75,-0.03,-0.08,-0.09,90
14.8,20.59,5.38,0.81,0.02,-0.15,-0.07,90
15,20.8,5.52,0.87,0,-0.07,-0.09,90
15.2,20.97,5.55,0.84,0.02,-0.11,-0.08,90
15.4,21.23,5.73,0.88,-0.02,-0.12,-0.11,90
15.6,21.36,5.7,0.93,0.03,-0.17,-0.07,90
15.8,21.54,5.83,0.93,0.02,-0.07,-0.08,90
16,21.76,6.02,1.02,0,-0.11,-0.09,90
16.2,21.94,6.02,0.98,0.07,-0.08,-0.04,90
16.4,22.07,6.14,1.04,0.05,-0.12,-0.09,90
16.6,22.3,6.26,1.07,0.03,-0.11,-0.09,90
16.8,22.43,6.32,1.1,0,-0.08,-0.08,90
17,22.67,6.45,1.07,0.07,-0.11,-0.15,90
17.2,22.9,6.47,1.09,0.12,-0.03,-0.08,90
17.4,23.02,6.57,1.16,0.07,-0.11,-0.09,90
17.6,23.16,6.63,1.2,0.07,-0.11,-0.11,90
17.8,23.3,6.77,1.2,0.1,-0.17,-0.11,90
18,23.51,6.93,1.23,0.1,-0.08,-0.07,90
18.2,23.66,6.93,1.23,0.1,-0.12,-0.09,90
18.4,23.92,7.02,1.33,0.13,-0.11,-0.2,90
18.6,24.04,7.13,1.32,0.17,-0.08,-0.09,90
18.8,24.17,7.22,1.33,0.17,-0.03,-0.11,90
19,24.35,7.28,1.38,0.12,-0.04,-0.11,90
19.2,24.51,7.31,1.37,0.07,-0.08,-0.12,90
19.4,24.69,7.41,1.46,0.17,-0.03,-0.12,90
19.6,24.78,7.48,1.45,0.18,-0.07,-0.11,90
19.8,24.98,7.6,1.46,0.18,-0.08,-0.17,90
20,25.14,7.64,1.49,0.18,-0.09,-0.09,90
20.2,25.31,7.75,1.51,0.24,-0.08,-0.11,90
20.4,25.43,7.84,1.57,0.17,-0.07,-0.15,90
20.6,25.55,7.91,1.59,0.2,-0.09,-0.17,90
20.8,25.72,7.9,1.59,0.2,-0.11,-0.17,90
21,25.91,8.09,1.67,0.23,-0.08,-0.16,90
21.2,26.05,8.16,1.7,0.26,-0.12,-0.16,90
21.4,26.22,8.25,1.73,0.2,-0.08,-0.08,90
21.6,26.35,8.31,1.79,0.2,-0.12,-0.12,90
21.8,26.44,8.36,1.73,0.26,-0.08,-0.11,90
22,26.62,8.46,1.73,0.26,-0.08,-0.15,90
22.2,26.76,8.59,1.8,0.34,-0.08,-0.11,90
22.4,26.86,8.63,1.84,0.26,-0.11,-0.16,90
22.6,27.07,8.7,1.89,0.3,-0.04,-0.11,90
22.8,27.26,8.72,1.85,0.3,-0.08,-0.08,90
23,27.35,8.81,1.98,0.3,-0.04,-0.15,90
23.2,27.47,8.94,1.98,0.34,-0.09,-0.11,90
23.4,27.59,9.01,1.95,0.34,-0.04,-0.09,90
23.6,27.7,9.02,2.05,0.34,-0.12,-0.12,90
23.8,27.87,9.12,2.06,0.3,-0.04,-0.12,90
24,28.05,9.18,2.06,0.37,-0.03,-0.16,90
24.2,28.15,9.26,2.09,0.34,-0.04,-0.12,90
24.4,28.28,9.33,2.06,0.38,-0.03,-0.11,90
24.6,28.39,9.41,2.2,0.45,-0.02,-0.11,90
24.8,28.65,9.49,2.19,0.46,-0.04,-0.11,90
25,28.69,9.57,2.15,0.4,0,-0.09,90
25.2,28.8,9.62,2.19,0.45,-0.03,-0.12,90
25.4,28.97,9.7,2.2,0.4,-0.02,-0.15,90
25.6,29.07,9.74,2.29,0.41,0.03,-0.15,90
25.8,29.23,9.84,2.29,0.46,-0.08,-0.12,90
26,29.32,9.83,2.38,0.51,-0.02,-0.09,90
26.2,29.45,9.96,2.43,0.54,0,-0.15,90
26.4,29.62,10.02,2.38,0.48,0,-0.12,90
26.6,29.72,10.09,2.38,0.52,0,-0.11,90
26.8,29.87,10.08,2.41,0.47,-0.02,-0.15,90
27,29.92,10.23,2.43,0.48,0.04,-0.11,90
27.2,29.98,10.29,2.48,0.52,0,-0.11,90
27.4,30.2,10.31,2.52,0.56,0.02,-0.16,90
27.6,30.3,10.35,2.54,0.56,0.05,-0.15,90
27.8,30.38,10.43,2.49,0.6,-0.02,-0.12,90
28,30.46,10.51,2.62,0.63,0,-0.08,90
28.2,30.65,10.59,2.63,0.65,-0.03,-0.15,90
28.4,30.7,10.7,2.55,0.65,0.05,-0.11,90
28.6,30.84,10.73,2.64,0.59,0.02,-0.12,90
28.8,30.98,10.7,2.68,0.61,0.03,-0.03,90
29,31.07,10.82,2.62,0.61,0.03,-0.09,90
29.2,31.22,10.91,2.7,0.59,0.04,-0.09,90
29.4,31.31,10.91,2.72,0.61,0,-0.04,90
29.6,31.46,10.96,2.7,0.66,0.12,-0.08,90
29.8,31.52,10.99,2.77,0.6,0.02,-0.15,90
30,31.62,11.05,2.8,0.65,-0.02,-0.03,90
30.2,31.77,11.14,2.83,0.66,0.02,-0.07,90
30.4,31.88,11.21,2.84,0.7,0.09,-0.11,90
30.6,31.97,11.25,2.9,0.69,0.02,-0.15,90
30.8,32.1,11.38,2.91,0.73,0.09,-0.11,90
31,32.22,11.41,2.91,0.73,0.04,-0.12,90
31.2,32.23,11.43,2.97,0.73,0.12,-0.08,90
31.4,32.36,11.51,2.98,0.75,0.02,-0.11,90
31.6,32.49,11.61,2.93,0.73,0.02,-0.09,90
31.8,32.59,11.67,2.99,0.77,0.07,-0.02,90
32,32.72,11.65,3.03,0.79,0.04,-0.08,90
32.2,32.79,11.74,3.09,0.81,0.1,-0.09,90
32.4,32.98,11.84,3.11,0.81,0.12,-0.04,90
32.6,33.07,11.81,3.11,0.79,0.1,-0.07,90
32.8,33.13,11.86,3.13,0.83,0.1,-0.12,90
33,33.3,11.95,3.19,0.89,0.09,-0.12,90
33.2,33.33,11.97,3.23,0.87,0.13,0.02,90
33.4,33.42,12.02,3.23,0.95,0.1,-0.03,90
33.6,33.6,12.07,3.21,0.87,0.1,-0.07,90
33.8,33.56,12.16,3.26,0.93,0.1,-0.08,90
34,33.73,12.2,3.21,0.88,0.12,-0.08,90
34.2,33.82,12.18,3.3,0.88,0.12,-0.03,90
