Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,0.75,0.75,0.75,0.59,0.59,0.59,150
0.2,0.75,0.8,0.69,0.59,0.63,0.56,150
0.4,0.7,0.73,0.73,0.61,0.61,0.61,150
0.6,0.73,0.8,0.69,0.61,0.55,0.59,150
0.8,0.83,0.8,0.73,0.63,0.59,0.54,150
1,0.83,0.73,0.73,0.6,0.63,0.6,150
1.2,1,0.77,0.73,0.59,0.59,0.59,150
1.4,1.07,0.83,0.73,0.63,0.6,0.56,150
1.6,1.22,0.77,0.79,0.56,0.6,0.54,150
1.8,1.45,0.77,0.8,0.56,0.61,0.59,150
2,1.52,0.79,0.81,0.6,0.59,0.55,150
2.2,1.81,0.81,0.77,0.59,0.63,0.55,150
2.4,1.95,0.89,0.81,0.63,0.63,0.6,150
2.6,2.23,0.87,0.77,0.56,0.61,0.6,150
2.8,2.35,0.8,0.77,0.6,0.63,0.59,150
3,2.58,0.84,0.83,0.61,0.6,0.56,150
3.2,2.82,0.87,0.77,0.63,0.63,0.59,150
3.4,2.98,0.88,0.81,0.6,0.6,0.59,150
3.6,3.19,0.9,0.81,0.6,0.6,0.59,150
3.8,3.4,0.9,0.81,0.6,0.6,0.6,150
4,3.61,0.93,0.87,0.55,0.61,0.54,150
4.2,3.8,1.03,0.84,0.56,0.66,0.55,150
4.4,4.02,1,0.88,0.59,0.61,0.6,150
4.6,4.23,0.98,0.87,0.59,0.59,0.66,150
4.8,4.41,1.09,0.83,0.65,0.63,0.56,150
5,4.53,1.1,0.84,0.61,0.61,0.52,150
5.2,4.84,1.16,0.87,0.59,0.61,0.47,150
5.4,4.98,1.14,0.88,0.56,0.61,0.54,150
5.6,5.18,1.23,0.87,0.61,0.65,0.6,150
5.8,5.39,1.32,0.9,0.6,0.65,0.6,150
6,5.57,1.26,0.89,0.59,0.63,0.56,150
6.2,5.8,1.32,0.83,0.65,0.6,0.6,150
6.4,5.91,1.42,0.89,0.59,0.6,0.61,150
6.6,6.1,1.52,0.94,0.59,0.63,0.59,150
6.8,6.28,1.47,0.9,0.63,0.61,0.61,150
7,6.47,1.57,0.9,0.6,0.56,0.59,150
7.2,6.63,1.63,0.93,0.59,0.65,0.61,150
7.4,6.8,1.65,0.88,0.56,0.65,0.6,150
7.6,6.99,1.75,1.02,0.56,0.65,0.56,150
7.8,7.12,1.79,0.95,0.65,0.63,0.61,150
8,7.33,1.84,1.04,0.63,0.65,0.55,150
8.2,7.49,1.95,1.03,0.61,0.61,0.56,150
8.4,7.69,1.98,1.04,0.63,0.67,0.56,150
8.6,7.8,2,1.07,0.63,0.61,0.56,150
8.8,7.99,2.09,1,0.63,0.6,0.6,150
9,8.08,2.15,1.07,0.6,0.63,0.56,150
9.2,8.29,2.27,1.07,0.65,0.6,0.6,150
9.4,8.46,2.28,1.14,0.66,0.61,0.63,150
9.6,8.54,2.34,1.12,0.69,0.66,0.56,150
9.8,8.72,2.37,1.16,0.69,0.63,0.56,150
10,8.84,2.47,1.12,0.56,0.6,0.61,150
10.2,8.98,2.51,1.14,0.6,0.63,0.54,150
10.4,9.22,2.57,1.16,0.66,0.63,0.6,150
10.6,9.27,2.63,1.23,0.66,0.65,0.6,150
10.8,9.49,2.63,1.18,0.65,0.6,0.6,150
11,9.62,2.78,1.28,0.63,0.65,0.55,150
11.2,9.77,2.88,1.28,0.66,0.59,0.56,150
11.4,9.81,2.91,1.23,0.61,0.63,0.59,150
11.6,10.02,2.99,1.24,0.69,0.59,0.55,150
11.8,10.16,3.05,1.33,0.65,0.6,0.61,150
12,10.35,3.05,1.3,0.65,0.63,0.59,150
12.2,10.41,3.2,1.3,0.69,0.61,0.56,150
12.4,10.52,3.2,1.32,0.69,0.63,0.55,150
12.6,10.7,3.25,1.42,0.66,0.56,0.56,150
12.8,10.78,3.4,1.42,0.66,0.59,0.63,150
13,10.93,3.41,1.42,0.73,0.66,0.51,150
13.2,11.14,3.48,1.43,0.63,0.61,0.6,150
13.4,11.27,3.6,1.4,0.69,0.59,0.52,150
13.6,11.35,3.61,1.46,0.73,0.56,0.54,150
13.8,11.51,3.73,1.49,0.7,0.63,0.55,150
14,11.65,3.79,1.52,0.73,0.56,0.59,150
14.2,11.76,3.75,1.56,0.73,0.59,0.59,150
14.4,11.88,3.88,1.57,0.69,0.61,0.59,150
14.6,11.98,3.95,1.57,0.69,0.65,0.59,150
14.8,12.1,4.04,1.63,0.73,0.63,0.6,150
15,12.2,4.14,1.67,0.73,0.61,0.6,150
15.2,12.33,4.08,1.66,0.73,0.63,0.6,150
15.4,12.46,4.25,1.67,0.79,0.6,0.55,150
15.6,12.48,4.28,1.71,0.75,0.61,0.56,150
15.8,12.7,4.38,1.7,0.73,0.61,0.59,150
16,12.77,4.39,1.67,0.81,0.61,0.61,150
16.2,12.95,4.49,1.73,0.8,0.61,0.51,150
16.4,13.09,4.52,1.8,0.79,0.67,0.61,150
16.6,13.17,4.58,1.79,0.81,0.66,0.59,150
16.8,13.34,4.66,1.89,0.81,0.65,0.59,150
17,13.47,4.73,1.79,0.84,0.67,0.63,150
17.2,13.55,4.84,1.91,0.8,0.66,0.55,150
17.4,13.63,4.85,1.92,0.8,0.63,0.6,150
17.6,13.75,4.91,1.92,0.93,0.65,0.65,150
17.8,13.88,4.98,2,0.83,0.65,0.56,150
18,13.96,5.01,1.98,0.88,0.66,0.55,150
18.2,14.09,5.14,2.06,0.83,0.61,0.59,150
18.4,14.22,5.2,2.08,0.89,0.65,0.56,150
18.6,14.3,5.2,2.14,0.93,0.65,0.6,150
18.8,14.46,5.29,2.09,0.81,0.66,0.55,150
19,14.65,5.35,2.15,0.9,0.67,0.61,150
19.2,14.73,5.39,2.22,0.93,0.65,0.56,150
19.4,14.8,5.52,2.27,0.95,0.65,0.63,150
19.6,14.89,5.55,2.23,0.89,0.66,0.59,150
19.8,15.01,5.66,2.27,0.98,0.67,0.59,150
20,15.06,5.66,2.3,1,0.67,0.63,150
20.2,15.26,5.76,2.27,0.94,0.66,0.52,150
20.4,15.34,5.83,2.41,1.04,0.69,0.59,150
20.6,15.4,5.91,2.35,0.97,0.67,0.6,150
20.8,15.54,5.98,2.45,1.04,0.67,0.56,150
21,15.68,6.04,2.41,1.04,0.77,0.63,150
21.2,15.81,6.03,2.48,1.07,0.73,0.54,150
21.4,15.94,6.14,2.47,1.09,0.65,0.66,150
21.6,16.01,6.2,2.54,1.03,0.73,0.61,150
21.8,16.12,6.28,2.52,1.04,0.7,0.59,150
22,16.16,6.37,2.54,1.12,0.73,0.61,150
22.2,16.27,6.39,2.62,1.16,0.73,0.63,150
22.4,16.4,6.45,2.63,1.09,0.79,0.59,150
22.6,16.48,6.55,2.72,1.16,0.73,0.6,150
22.8,16.55,6.59,2.7,1.14,0.7,0.59,150
23,16.7,6.7,2.7,1.14,0.7,0.61,150
23.2,16.81,6.72,2.76,1.16,0.77,0.6,150
23.4,16.89,6.78,2.74,1.2,0.79,0.6,150
23.6,17,6.79,2.78,1.22,0.73,0.63,150
23.8,17.13,6.88,2.88,1.23,0.77,0.63,150
24,17.2,7,2.9,1.2,0.73,0.56,150
24.2,17.27,6.98,2.88,1.23,0.75,0.61,150
24.4,17.37,7.05,2.93,1.24,0.75,0.65,150
24.6,17.46,7.09,2.93,1.26,0.81,0.6,150
24.8,17.55,7.2,2.93,1.23,0.8,0.6,150
25,17.64,7.23,3.05,1.28,0.77,0.63,150
25.2,17.81,7.28,3.05,1.33,0.77,0.59,150
25.4,17.83,7.41,2.99,1.3,0.81,0.63,150
25.6,18.01,7.43,3.11,1.32,0.79,0.63,150
25.8,18.07,7.56,3.13,1.33,0.81,0.65,150
26,18.16,7.54,3.12,1.32,0.77,0.63,150
26.2,18.31,7.59,3.17,1.42,0.8,0.56,150
26.4,18.37,7.64,3.2,1.33,0.81,0.61,150
26.6,18.42,7.7,3.27,1.43,0.83,0.67,150
26.8,18.57,7.7,3.26,1.45,0.84,0.66,150
27,18.63,7.87,3.26,1.46,0.88,0.66,150
27.2,18.71,7.9,3.38,1.46,0.84,0.65,150
27.4,18.82,7.91,3.34,1.49,0.8,0.66,150
27.6,18.91,8.02,3.4,1.51,0.8,0.61,150
27.8,19.02,8.04,3.34,1.52,0.8,0.67,150
28,19.1,8.1,3.45,1.52,0.89,0.69,150
28.2,19.16,8.15,3.45,1.57,0.88,0.66,150
28.4,19.25,8.27,3.51,1.53,0.83,0.66,150
28.6,19.32,8.29,3.53,1.56,0.88,0.65,150
28.8,19.43,8.36,3.59,1.59,0.84,0.65,150
29,19.53,8.4,3.56,1.59,0.93,0.66,150
29.2,19.65,8.52,3.63,1.59,0.88,0.66,150
29.4,19.72,8.51,3.6,1.59,0.89,0.63,150
29.6,19.8,8.56,3.61,1.61,0.94,0.63,150
29.8,19.89,8.63,3.7,1.61,0.88,0.65,150
30,19.91,8.66,3.66,1.61,0.84,0.67,150
30.2,20.02,8.73,3.73,1.7,0.94,0.66,150
30.4,20.05,8.84,3.82,1.7,0.88,0.65,150
30.6,20.18,8.86,3.82,1.73,0.93,0.69,150
30.8,20.35,8.91,3.81,1.75,0.94,0.65,150
31,20.37,8.98,3.88,1.73,0.9,0.63,150
31.2,20.51,9.02,3.89,1.75,0.93,0.63,150
31.4,20.52,9.13,3.92,1.73,0.9,0.63,150
31.6,20.64,9.18,3.9,1.79,0.94,0.65,150
31.8,20.7,9.12,4.02,1.84,0.93,0.65,150
32,20.77,9.21,3.97,1.81,0.95,0.65,150
32.2,20.9,9.27,4.06,1.85,0.97,0.65,150
32.4,20.98,9.32,4.06,1.88,0.95,0.61,150
32.6,21.06,9.38,4.1,1.89,1.02,0.65,150
32.8,21.12,9.41,4.14,1.86,0.98,0.73,150
33,21.25,9.49,4.18,1.94,1.02,0.73,150
33.2,21.32,9.62,4.2,1.91,1.03,0.7,150
33.4,21.41,9.6,4.2,1.94,1.02,0.66,150
33.6,21.52,9.66,4.31,1.98,1,0.67,150
33.8,21.56,9.7,4.31,2.02,1.02,0.7,150
34,21.7,9.75,4.3,1.95,0.97,0.73,150
34.2,21.72,9.88,4.38,1.94,1.02,0.73,150
34.4,21.76,9.88,4.35,2.02,1.03,0.73,150
34.6,21.87,9.95,4.38,2.05,1.12,0.75,150
34.8,21.91,10.02,4.48,2.09,1.08,0.69,150
35,21.99,10.02,4.49,2.08,1.09,0.7,150
35.2,22.07,10.1,4.5,2.12,1.08,0.73,150
35.4,22.23,10.13,4.53,2.13,1.08,0.77,150
35.6,22.3,10.17,4.53,2.16,1.03,0.73,150
35.8,22.41,10.29,4.56,2.13,1.09,0.69,150
36,22.45,10.3,4.63,2.13,1.12,0.77,150
36.2,22.47,10.38,4.7,2.16,1.1,0.73,150
36.4,22.56,10.42,4.7,2.15,1.16,0.73,150
36.6,22.59,10.45,4.73,2.2,1.14,0.73,150
36.8,22.71,10.49,4.77,2.16,1.14,0.73,150
37,22.78,10.59,4.77,2.28,1.14,0.79,150
37.2,22.96,10.55,4.78,2.28,1.18,0.73,150
37.4,22.98,10.59,4.77,2.33,1.1,0.69,150
37.6,23.05,10.77,4.84,2.27,1.2,0.8,150
37.8,23.1,10.76,4.87,2.34,1.16,0.73,150
38,23.16,10.78,4.88,2.33,1.18,0.75,150
38.2,23.25,10.87,4.95,2.33,1.2,0.79,150
