Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.24,-0.45,-0.53,-0.53,-0.53,-0.45,150
0.2,-0.24,-0.45,-0.52,-0.51,-0.53,-0.45,150
0.4,-0.2,-0.36,-0.49,-0.52,-0.49,-0.53,150
0.6,-0.23,-0.37,-0.45,-0.49,-0.49,-0.45,150
0.8,-0.16,-0.37,-0.48,-0.52,-0.49,-0.51,150
1,-0.08,-0.36,-0.41,-0.51,-0.51,-0.49,150
1.2,0.07,-0.37,-0.41,-0.49,-0.48,-0.53,150
1.4,0.24,-0.38,-0.45,-0.52,-0.45,-0.53,150
1.6,0.45,-0.4,-0.45,-0.53,-0.51,-0.49,150
1.8,0.63,-0.34,-0.4,-0.59,-0.49,-0.52,150
2,0.93,-0.36,-0.45,-0.52,-0.51,-0.53,150
2.2,1.16,-0.28,-0.37,-0.52,-0.49,-0.52,150
2.4,1.37,-0.4,-0.45,-0.48,-0.49,-0.51,150
2.6,1.66,-0.3,-0.43,-0.56,-0.45,-0.56,150
2.8,1.98,-0.32,-0.45,-0.53,-0.52,-0.45,150
3,2.16,-0.34,-0.45,-0.49,-0.51,-0.49,150
3.2,2.41,-0.28,-0.41,-0.53,-0.48,-0.49,150
3.4,2.7,-0.26,-0.48,-0.52,-0.51,-0.48,150
3.6,2.86,-0.3,-0.45,-0.51,-0.52,-0.49,150
3.8,3.23,-0.28,-0.48,-0.56,-0.52,-0.45,150
4,3.42,-0.17,-0.41,-0.56,-0.52,-0.52,150
4.2,3.81,-0.12,-0.45,-0.51,-0.49,-0.57,150
4.4,3.94,-0.11,-0.45,-0.53,-0.45,-0.49,150
4.6,4.29,-0.03,-0.43,-0.53,-0.52,-0.49,150
4.8,4.49,0,-0.4,-0.49,-0.48,-0.52,150
5,4.79,0.02,-0.43,-0.56,-0.51,-0.49,150
5.2,4.93,0.03,-0.41,-0.56,-0.49,-0.52,150
5.4,5.28,0.17,-0.45,-0.51,-0.45,-0.51,150
5.6,5.52,0.14,-0.41,-0.52,-0.45,-0.53,150
5.8,5.78,0.24,-0.41,-0.52,-0.49,-0.56,150
6,5.95,0.3,-0.38,-0.56,-0.43,-0.52,150
6.2,6.24,0.3,-0.38,-0.56,-0.45,-0.52,150
6.4,6.39,0.41,-0.38,-0.51,-0.52,-0.48,150
6.6,6.7,0.46,-0.4,-0.49,-0.45,-0.51,150
6.8,6.91,0.55,-0.41,-0.49,-0.48,-0.49,150
7,7.13,0.6,-0.34,-0.49,-0.51,-0.52,150
7.2,7.39,0.66,-0.37,-0.45,-0.45,-0.53,150
7.4,7.54,0.73,-0.36,-0.6,-0.51,-0.49,150
7.6,7.77,0.77,-0.34,-0.52,-0.49,-0.49,150
7.8,7.94,0.83,-0.36,-0.6,-0.49,-0.51,150
8,8.27,0.98,-0.32,-0.57,-0.43,-0.49,150
8.2,8.4,1.03,-0.3,-0.53,-0.52,-0.53,150
8.4,8.63,1.1,-0.3,-0.53,-0.45,-0.49,150
8.6,8.84,1.14,-0.3,-0.48,-0.45,-0.53,150
8.8,9.12,1.3,-0.37,-0.48,-0.51,-0.57,150
9,9.29,1.36,-0.3,-0.49,-0.49,-0.51,150
9.2,9.48,1.38,-0.24,-0.49,-0.45,-0.49,150
9.4,9.66,1.51,-0.23,-0.51,-0.49,-0.45,150
9.6,9.88,1.61,-0.23,-0.56,-0.53,-0.53,150
9.8,10.06,1.65,-0.2,-0.53,-0.49,-0.48,150
10,10.25,1.73,-0.18,-0.51,-0.49,-0.45,150
10.2,10.46,1.88,-0.22,-0.51,-0.45,-0.51,150
10.4,10.59,1.84,-0.2,-0.57,-0.49,-0.52,150
10.6,10.84,2.02,-0.12,-0.56,-0.51,-0.49,150
10.8,11.04,2.02,-0.09,-0.45,-0.49,-0.51,150
11,11.18,2.19,-0.15,-0.43,-0.48,-0.45,150
11.2,11.46,2.23,-0.12,-0.43,-0.52,-0.53,150
11.4,11.55,2.35,-0.08,-0.53,-0.49,-0.49,150
11.6,11.78,2.41,0.02,-0.52,-0.45,-0.51,150
11.8,11.88,2.52,-0.07,-0.45,-0.45,-0.45,150
12,12.13,2.58,-0.02,-0.45,-0.45,-0.49,150
12.2,12.33,2.7,0.04,-0.45,-0.45,-0.56,150
12.4,12.4,2.74,0.03,-0.45,-0.49,-0.49,150
12.6,12.56,2.82,0.05,-0.45,-0.49,-0.45,150
12.8,12.76,2.92,0.07,-0.51,-0.51,-0.51,150
13,12.87,2.99,0.18,-0.51,-0.45,-0.51,150
13.2,13.16,3.09,0.14,-0.45,-0.49,-0.48,150
13.4,13.27,3.19,0.18,-0.41,-0.48,-0.51,150
13.6,13.51,3.31,0.17,-0.45,-0.48,-0.51,150
13.8,13.62,3.38,0.23,-0.4,-0.45,-0.45,150
14,13.74,3.4,0.24,-0.41,-0.45,-0.51,150
14.2,13.95,3.53,0.32,-0.37,-0.48,-0.49,150
14.4,14.17,3.66,0.3,-0.43,-0.53,-0.45,150
14.6,14.24,3.66,0.3,-0.4,-0.48,-0.52,150
14.8,14.44,3.81,0.45,-0.43,-0.45,-0.49,150
15,14.52,3.86,0.47,-0.43,-0.49,-0.52,150
15.2,14.71,3.94,0.42,-0.41,-0.52,-0.48,150
15.4,14.84,4.02,0.42,-0.36,-0.45,-0.52,150
15.6,15.05,4.14,0.45,-0.41,-0.52,-0.52,150
15.8,15.2,4.22,0.48,-0.4,-0.48,-0.53,150
16,15.34,4.31,0.52,-0.43,-0.52,-0.48,150
16.2,15.48,4.38,0.56,-0.38,-0.51,-0.52,150
16.4,15.69,4.44,0.59,-0.4,-0.49,-0.45,150
16.6,15.82,4.53,0.6,-0.38,-0.45,-0.51,150
16.8,15.99,4.66,0.66,-0.36,-0.48,-0.49,150
17,16.09,4.72,0.7,-0.32,-0.48,-0.43,150
17.2,16.27,4.85,0.69,-0.34,-0.45,-0.49,150
17.4,16.45,4.8,0.75,-0.36,-0.49,-0.51,150
17.6,16.61,4.91,0.75,-0.3,-0.48,-0.49,150
17.8,16.7,4.98,0.79,-0.34,-0.51,-0.53,150
18,16.83,5.13,0.83,-0.32,-0.49,-0.52,150
18.2,17.02,5.18,0.88,-0.26,-0.51,-0.45,150
18.4,17.14,5.32,0.89,-0.24,-0.51,-0.56,150
18.6,17.24,5.39,0.88,-0.24,-0.45,-0.51,150
18.8,17.37,5.45,0.97,-0.26,-0.48,-0.51,150
19,17.55,5.48,1,-0.26,-0.43,-0.49,150
19.2,17.73,5.55,1.03,-0.23,-0.49,-0.53,150
19.4,17.85,5.66,1.07,-0.24,-0.48,-0.49,150
19.6,17.91,5.74,1.09,-0.28,-0.48,-0.51,150
19.8,18.16,5.83,1.12,-0.26,-0.43,-0.56,150
20,18.22,5.91,1.12,-0.23,-0.43,-0.51,150
20.2,18.38,6.01,1.16,-0.2,-0.45,-0.48,150
20.4,18.51,5.98,1.28,-0.2,-0.45,-0.48,150
20.6,18.64,6.09,1.24,-0.23,-0.48,-0.48,150
20.8,18.77,6.22,1.3,-0.24,-0.45,-0.51,150
21,18.88,6.29,1.3,-0.16,-0.45,-0.48,150
21.2,19.09,6.35,1.4,-0.17,-0.43,-0.52,150
21.4,19.18,6.45,1.4,-0.16,-0.4,-0.45,150
21.6,19.31,6.53,1.52,-0.16,-0.4,-0.45,150
21.8,19.45,6.64,1.45,-0.2,-0.41,-0.48,150
22,19.56,6.74,1.47,-0.11,-0.48,-0.48,150
22.2,19.65,6.79,1.56,-0.09,-0.48,-0.49,150
22.4,19.8,6.8,1.59,-0.09,-0.43,-0.49,150
22.6,19.95,6.87,1.59,-0.07,-0.45,-0.48,150
22.8,20.09,7.02,1.65,-0.08,-0.43,-0.51,150
23,20.2,7.06,1.73,-0.08,-0.38,-0.45,150
23.2,20.37,7.16,1.79,-0.02,-0.36,-0.48,150
23.4,20.39,7.22,1.75,0,-0.45,-0.45,150
23.6,20.57,7.39,1.8,-0.07,-0.45,-0.48,150
23.8,20.66,7.39,1.88,-0.07,-0.34,-0.45,150
24,20.72,7.48,1.86,-0.03,-0.37,-0.48,150
24.2,20.86,7.6,1.91,0,-0.4,-0.48,150
24.4,21.05,7.64,1.95,0.04,-0.36,-0.45,150
24.6,21.23,7.69,1.98,0.04,-0.4,-0.51,150
24.8,21.27,7.87,1.98,0.03,-0.38,-0.53,150
25,21.37,7.88,2.02,0.07,-0.3,-0.45,150
25.2,21.52,7.94,2.12,0.07,-0.38,-0.45,150
25.4,21.62,8.05,2.19,0.13,-0.43,-0.49,150
25.6,21.78,8.09,2.19,0.12,-0.34,-0.53,150
25.8,21.8,8.15,2.2,0.12,-0.38,-0.48,150
