Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.03,-0.03,-0.15,-0.15,-0.12,0.02,150
0.2,-0.07,-0.03,-0.12,-0.15,-0.12,0.02,150
0.4,-0.03,-0.09,-0.09,-0.09,-0.12,-0.04,150
0.6,-0.02,-0.07,-0.07,-0.03,-0.17,0.02,150
0.8,0.03,-0.02,-0.08,-0.12,-0.12,-0.03,150
1,0.24,0,-0.12,-0.09,-0.16,0.02,150
1.2,0.45,0.03,-0.08,-0.08,-0.08,0.03,150
1.4,0.66,-0.02,-0.11,-0.11,-0.09,0.04,150
1.6,0.83,-0.02,-0.04,-0.08,-0.12,-0.02,150
1.8,1.03,-0.03,-0.11,-0.12,-0.03,-0.02,150
2,1.24,-0.04,-0.15,-0.11,-0.16,-0.07,150
2.2,1.45,-0.03,-0.11,-0.03,-0.12,0.04,150
2.4,1.59,0.02,-0.08,-0.08,-0.09,-0.02,150
2.6,1.88,0.02,-0.15,-0.09,-0.11,0,150
2.8,2.09,0.02,-0.12,-0.09,-0.12,0.03,150
3,2.37,0.1,-0.11,-0.12,-0.11,0.04,150
3.2,2.55,0.03,-0.07,-0.08,-0.09,0,150
3.4,2.82,0.09,-0.11,-0.09,-0.09,0.03,150
3.6,2.98,0.1,-0.12,-0.08,-0.08,0.02,150
3.8,3.23,0.17,-0.03,-0.11,-0.07,-0.02,150
4,3.45,0.18,-0.12,-0.07,-0.15,0,150
4.2,3.61,0.24,-0.07,-0.09,-0.12,0.04,150
4.4,3.76,0.26,-0.09,-0.11,-0.11,0,150
4.6,3.98,0.28,-0.09,-0.09,-0.12,-0.09,150
4.8,4.16,0.26,-0.04,-0.07,-0.12,-0.03,150
5,4.37,0.37,-0.08,-0.08,-0.09,-0.04,150
5.2,4.53,0.4,-0.08,-0.11,-0.17,-0.03,150
5.4,4.7,0.41,-0.07,-0.03,-0.09,-0.03,150
5.6,4.91,0.54,-0.08,-0.03,-0.11,-0.02,150
5.8,5.14,0.54,-0.12,-0.15,-0.16,0.02,150
6,5.33,0.59,-0.07,-0.11,-0.11,-0.02,150
6.2,5.48,0.65,-0.07,-0.07,-0.08,0,150
6.4,5.68,0.77,-0.11,-0.09,-0.16,-0.03,150
6.6,5.84,0.77,-0.07,-0.16,-0.08,-0.04,150
6.8,5.95,0.84,-0.07,-0.09,-0.11,-0.04,150
7,6.22,0.88,-0.03,-0.17,-0.07,-0.02,150
7.2,6.3,0.9,0,-0.12,-0.11,0.03,150
7.4,6.57,1.07,-0.03,-0.09,-0.11,-0.08,150
7.6,6.64,1.1,-0.03,-0.11,-0.15,0.03,150
7.8,6.84,1.16,0,-0.11,-0.15,-0.04,150
8,6.91,1.26,0.02,-0.07,-0.09,0.03,150
8.2,7.06,1.3,0,-0.09,-0.12,-0.02,150
8.4,7.28,1.33,0.03,-0.07,-0.11,0.02,150
8.6,7.48,1.4,0.05,-0.09,-0.12,-0.03,150
8.8,7.5,1.47,0.07,-0.08,-0.16,0,150
9,7.73,1.56,0.13,-0.11,-0.12,0,150
9.2,7.87,1.7,0.13,-0.11,-0.09,-0.04,150
9.4,8.02,1.73,0.05,-0.07,-0.11,-0.04,150
9.6,8.13,1.77,0.12,-0.09,-0.11,0.03,150
9.8,8.35,1.85,0.09,-0.04,-0.07,0,150
10,8.44,1.89,0.13,-0.07,-0.15,0,150
10.2,8.52,1.94,0.14,-0.17,-0.16,-0.03,150
10.4,8.73,2.02,0.13,-0.11,-0.12,0.02,150
10.6,8.9,2.13,0.23,-0.11,-0.11,-0.02,150
10.8,9.01,2.14,0.26,-0.04,-0.09,-0.03,150
11,9.09,2.28,0.24,-0.08,-0.09,-0.02,150
11.2,9.24,2.34,0.28,-0.08,-0.12,0.02,150
11.4,9.34,2.37,0.2,-0.04,-0.12,-0.03,150
11.6,9.41,2.41,0.26,-0.07,-0.16,0.02,150
11.8,9.59,2.51,0.34,-0.03,-0.15,0,150
12,9.7,2.66,0.32,-0.03,-0.12,-0.02,150
12.2,9.89,2.63,0.34,-0.02,-0.11,0,150
12.4,9.96,2.8,0.38,-0.02,-0.12,-0.02,150
12.6,10.08,2.83,0.41,-0.04,-0.09,-0.03,150
12.8,10.23,2.92,0.48,-0.04,-0.09,0,150
13,10.32,2.99,0.45,-0.04,-0.11,0,150
13.2,10.46,3.05,0.47,-0.03,-0.12,-0.04,150
13.4,10.59,3.11,0.52,0.03,-0.12,-0.02,150
13.6,10.66,3.13,0.47,0.03,-0.08,-0.04,150
13.8,10.91,3.25,0.61,0.05,-0.11,-0.03,150
14,10.96,3.31,0.6,0,-0.09,0.02,150
14.2,11.09,3.38,0.59,0.02,-0.15,-0.07,150
14.4,11.14,3.48,0.63,0.05,-0.11,0.02,150
14.6,11.25,3.52,0.69,-0.02,-0.07,-0.07,150
14.8,11.41,3.61,0.69,0.04,-0.08,0.02,150
15,11.57,3.69,0.69,0.05,-0.09,-0.04,150
15.2,11.59,3.73,0.77,0.1,-0.11,0,150
15.4,11.74,3.76,0.77,0.02,-0.12,-0.07,150
15.6,11.88,3.89,0.75,0.07,-0.11,-0.02,150
15.8,12.01,3.92,0.8,0.1,-0.15,-0.04,150
