Time,TC1,TC2,TC3,TC4,TC5,TC6,Power (1023 Max)
0,-0.28,-0.24,-0.36,-0.28,-0.28,-0.23,150
0.2,-0.28,-0.24,-0.3,-0.28,-0.3,-0.18,150
0.4,-0.28,-0.24,-0.36,-0.32,-0.28,-0.23,150
0.6,-0.34,-0.28,-0.32,-0.3,-0.3,-0.22,150
0.8,-0.18,-0.23,-0.3,-0.28,-0.3,-0.24,150
1,-0.24,-0.28,-0.28,-0.3,-0.3,-0.23,150
1.2,-0.11,-0.26,-0.3,-0.26,-0.3,-0.23,150
1.4,-0.02,-0.23,-0.3,-0.32,-0.24,-0.22,150
1.6,0.07,-0.22,-0.3,-0.3,-0.34,-0.15,150
1.8,0.23,-0.24,-0.34,-0.23,-0.36,-0.2,150
2,0.37,-0.22,-0.28,-0.24,-0.34,-0.23,150
2.2,0.51,-0.23,-0.28,-0.3,-0.28,-0.22,150
2.4,0.65,-0.24,-0.34,-0.23,-0.26,-0.23,150
2.6,0.88,-0.2,-0.37,-0.3,-0.3,-0.22,150
2.8,1.08,-0.22,-0.3,-0.34,-0.3,-0.18,150
3,1.18,-0.15,-0.3,-0.3,-0.3,-0.23,150
3.2,1.4,-0.22,-0.3,-0.28,-0.32,-0.23,150
3.4,1.53,-0.15,-0.3,-0.34,-0.24,-0.22,150
3.6,1.79,-0.12,-0.28,-0.3,-0.26,-0.18,150
3.8,1.88,-0.11,-0.34,-0.3,-0.3,-0.2,150
4,2.12,-0.11,-0.28,-0.2,-0.24,-0.16,150
4.2,2.25,-0.15,-0.3,-0.26,-0.3,-0.17,150
4.4,2.49,-0.04,-0.3,-0.26,-0.28,-0.2,150
4.6,2.63,0.02,-0.28,-0.3,-0.26,-0.23,150
4.8,2.84,0.03,-0.3,-0.26,-0.3,-0.2,150
5,2.91,0,-0.37,-0.3,-0.3,-0.18,150
5.2,3.07,0.05,-0.3,-0.28,-0.3,-0.18,150
5.4,3.34,0.12,-0.32,-0.28,-0.28,-0.26,150
5.6,3.46,0.13,-0.28,-0.24,-0.3,-0.22,150
5.8,3.59,0.12,-0.36,-0.23,-0.32,-0.18,150
6,3.75,0.18,-0.3,-0.3,-0.3,-0.2,150
6.2,3.94,0.27,-0.3,-0.26,-0.3,-0.16,150
6.4,4.12,0.26,-0.24,-0.28,-0.24,-0.16,150
6.6,4.24,0.27,-0.28,-0.3,-0.22,-0.24,150
6.8,4.43,0.38,-0.28,-0.3,-0.26,-0.22,150
7,4.59,0.38,-0.26,-0.24,-0.3,-0.2,150
7.2,4.7,0.45,-0.23,-0.3,-0.36,-0.26,150
7.4,4.84,0.46,-0.28,-0.3,-0.3,-0.23,150
7.6,4.99,0.52,-0.17,-0.34,-0.32,-0.16,150
7.8,5.22,0.61,-0.26,-0.26,-0.24,-0.22,150
8,5.24,0.66,-0.22,-0.3,-0.3,-0.17,150
8.2,5.39,0.7,-0.23,-0.24,-0.36,-0.17,150
8.4,5.59,0.73,-0.17,-0.24,-0.3,-0.24,150
8.6,5.64,0.84,-0.18,-0.26,-0.26,-0.22,150
8.8,5.77,0.81,-0.16,-0.24,-0.3,-0.2,150
9,5.95,0.93,-0.2,-0.3,-0.26,-0.22,150
9.2,6.12,0.98,-0.17,-0.28,-0.23,-0.2,150
9.4,6.26,1.03,-0.11,-0.3,-0.26,-0.22,150
9.6,6.38,1.09,-0.11,-0.26,-0.28,-0.2,150
9.8,6.57,1.08,-0.12,-0.24,-0.24,-0.24,150
10,6.7,1.2,-0.11,-0.3,-0.37,-0.22,150
10.2,6.8,1.22,-0.09,-0.24,-0.28,-0.18,150
10.4,6.95,1.23,-0.07,-0.23,-0.26,-0.22,150
10.6,6.95,1.33,0,-0.26,-0.3,-0.2,150
